Frame,Time (Seconds),Rotation X,Rotation Y,Rotation Z,Rotation W,Position X,Position Y,Position Z
0,0,-0.504979,-0.363915,0.712465,-0.323969,0.912554,1.652089,-0.37195
1,0.01,-0.504713,-0.364109,0.712545,-0.323988,0.912573,1.652097,-0.371931
2,0.02,-0.504597,-0.364144,0.712622,-0.323963,0.912578,1.652103,-0.371942
3,0.03,-0.504442,-0.364353,0.712627,-0.323958,0.912576,1.65208,-0.371931
4,0.04,-0.504407,-0.364367,0.712668,-0.323906,0.912577,1.652091,-0.371923
5,0.05,-0.504342,-0.364481,0.712646,-0.323926,0.912573,1.6521,-0.371913
6,0.06,-0.504868,-0.364067,0.712601,-0.323671,0.91254,1.652089,-0.371907
7,0.07,-0.50523,-0.363918,0.712479,-0.323543,0.912533,1.652105,-0.371881
8,0.08,-0.50543,-0.363873,0.712388,-0.323481,0.912521,1.652111,-0.371866
9,0.09,-0.505009,-0.364113,0.712499,-0.323623,0.912544,1.652104,-0.37187
10,0.1,-0.504723,-0.364296,0.712537,-0.323781,0.912562,1.652102,-0.371874
11,0.11,-0.504571,-0.364336,0.712591,-0.323853,0.912575,1.652116,-0.37188
12,0.12,-0.505013,-0.364104,0.71248,-0.32367,0.912544,1.652124,-0.371865
13,0.13,-0.504759,-0.364179,0.712589,-0.323742,0.912547,1.652098,-0.371884
14,0.14,-0.50511,-0.363916,0.712508,-0.323669,0.912537,1.652106,-0.371876
15,0.15,-0.504815,-0.364132,0.712565,-0.323761,0.912553,1.652106,-0.371872
16,0.16,-0.505172,-0.363981,0.712481,-0.323559,0.912534,1.652096,-0.371855
17,0.17,-0.504889,-0.364022,0.71261,-0.32367,0.912545,1.652097,-0.371888
18,0.18,-0.50527,-0.363822,0.712481,-0.323584,0.912536,1.652115,-0.371886
19,0.19,-0.504911,-0.364059,0.712602,-0.323611,0.91255,1.652101,-0.3719
20,0.2,-0.505209,-0.363826,0.712572,-0.323475,0.912525,1.652099,-0.371881
21,0.21,-0.5054,-0.36379,0.712487,-0.323404,0.912519,1.652106,-0.371854
22,0.22,-0.505555,-0.363699,0.712431,-0.323387,0.91252,1.652118,-0.371851
23,0.23,-0.505062,-0.364057,0.71249,-0.323623,0.912541,1.652117,-0.371851
24,0.24,-0.504776,-0.364247,0.712545,-0.323736,0.912555,1.652127,-0.371864
25,0.25,-0.505124,-0.363972,0.712483,-0.32364,0.912538,1.652129,-0.371851
26,0.26,-0.50481,-0.364132,0.712577,-0.323743,0.912546,1.65213,-0.371868
27,0.27,-0.504634,-0.364227,0.712629,-0.323794,0.912552,1.652131,-0.371883
28,0.28,-0.505042,-0.364021,0.712505,-0.323664,0.912539,1.652131,-0.371879
29,0.29,-0.505314,-0.363855,0.712445,-0.323557,0.91253,1.652124,-0.371858
30,0.3,-0.504921,-0.36419,0.712502,-0.323669,0.912549,1.652108,-0.371857
31,0.31,-0.50514,-0.364079,0.712452,-0.323562,0.912527,1.652104,-0.371845
32,0.32,-0.505388,-0.363848,0.712416,-0.323514,0.912532,1.652112,-0.371852
33,0.33,-0.504974,-0.36407,0.712506,-0.323712,0.912558,1.652114,-0.371876
34,0.34,-0.504722,-0.364244,0.712595,-0.323712,0.912561,1.652101,-0.371893
35,0.35,-0.50508,-0.36402,0.712474,-0.323673,0.91255,1.652112,-0.371872
36,0.36,-0.504796,-0.364224,0.712529,-0.323765,0.912567,1.652116,-0.371874
37,0.37,-0.504598,-0.364347,0.712605,-0.323769,0.91256,1.652093,-0.37189
38,0.38,-0.504973,-0.364137,0.712533,-0.32358,0.912533,1.652078,-0.371885
39,0.39,-0.505285,-0.363921,0.712462,-0.323491,0.912522,1.652094,-0.371879
40,0.4,-0.505448,-0.36367,0.712446,-0.323554,0.912525,1.652115,-0.371878
41,0.41,-0.505006,-0.364017,0.712539,-0.32365,0.912539,1.652126,-0.371874
42,0.42,-0.505253,-0.363933,0.71245,-0.323552,0.912528,1.652118,-0.371863
43,0.43,-0.504884,-0.364102,0.712563,-0.323691,0.912543,1.652123,-0.37188
44,0.44,-0.504615,-0.364309,0.712619,-0.323755,0.912552,1.652095,-0.371884
45,0.45,-0.50508,-0.363933,0.712547,-0.323611,0.912543,1.652124,-0.371885
46,0.46,-0.50536,-0.363797,0.712453,-0.323535,0.912533,1.652123,-0.371872
47,0.47,-0.504974,-0.36403,0.71254,-0.323682,0.912549,1.652135,-0.371878
48,0.48,-0.504741,-0.364182,0.712581,-0.323785,0.912555,1.652137,-0.371883
49,0.49,-0.504575,-0.364307,0.712607,-0.323845,0.912563,1.65213,-0.371886
50,0.5,-0.505026,-0.364078,0.712475,-0.32369,0.912549,1.65212,-0.371864
51,0.51,-0.504695,-0.364229,0.712629,-0.323698,0.912552,1.652104,-0.371882
52,0.52,-0.504554,-0.3644,0.712605,-0.323777,0.912567,1.652095,-0.371889
53,0.53,-0.504476,-0.364303,0.712696,-0.323807,0.912578,1.652116,-0.371899
54,0.54,-0.50435,-0.364462,0.712724,-0.323765,0.912559,1.652107,-0.371896
55,0.55,-0.504405,-0.364491,0.712613,-0.32389,0.912556,1.652118,-0.371896
56,0.56,-0.504927,-0.364123,0.712531,-0.323671,0.912545,1.652122,-0.371875
57,0.57,-0.505185,-0.36402,0.712495,-0.323463,0.912526,1.652113,-0.371862
58,0.58,-0.504873,-0.364149,0.712574,-0.323631,0.912544,1.652109,-0.37188
59,0.59,-0.505195,-0.363984,0.712471,-0.32354,0.912524,1.65211,-0.371857
60,0.6,-0.504907,-0.364122,0.712511,-0.323747,0.912543,1.652128,-0.371879
61,0.61,-0.513379,-0.362211,0.722253,-0.28913,0.912004,1.659336,-0.362364
62,0.62,-0.538426,-0.372619,0.713095,-0.250497,0.909711,1.664687,-0.351954
63,0.63,-0.526656,-0.369564,0.713252,-0.278078,0.910757,1.659953,-0.359418
64,0.64,-0.518628,-0.36725,0.713062,-0.296133,0.911441,1.656843,-0.364353
65,0.65,-0.51273,-0.366175,0.712814,-0.30809,0.91192,1.654809,-0.367571
66,0.66,-0.508877,-0.365362,0.712687,-0.315644,0.912227,1.653512,-0.369642
67,0.67,-0.506959,-0.364578,0.712428,-0.320189,0.9124,1.652701,-0.370899
68,0.68,-0.505303,-0.364519,0.71231,-0.323125,0.912514,1.652198,-0.371668
69,0.69,-0.504363,-0.364382,0.712351,-0.324655,0.912585,1.651927,-0.372095
70,0.7,-0.503823,-0.364252,0.712434,-0.325454,0.912614,1.651797,-0.372326
71,0.71,-0.504086,-0.36387,0.712368,-0.32562,0.912614,1.651752,-0.372415
72,0.72,-0.504322,-0.363536,0.712398,-0.325561,0.912591,1.65175,-0.372445
73,0.73,-0.504562,-0.363618,0.712265,-0.325389,0.912577,1.651768,-0.372386
74,0.74,-0.504224,-0.363795,0.712426,-0.325363,0.912596,1.65182,-0.37235
75,0.75,-0.504064,-0.363949,0.712512,-0.325249,0.912605,1.651861,-0.372314
76,0.76,-0.504463,-0.36375,0.712537,-0.324799,0.912577,1.65188,-0.372228
77,0.77,-0.504838,-0.363664,0.712443,-0.324517,0.912573,1.651918,-0.37216
78,0.78,-0.505085,-0.363543,0.712436,-0.324285,0.91256,1.651952,-0.372113
79,0.79,-0.505262,-0.363536,0.712386,-0.324128,0.912555,1.651988,-0.372065
80,0.8,-0.504865,-0.363846,0.71247,-0.324213,0.912574,1.65202,-0.372038
81,0.81,-0.505148,-0.363706,0.712433,-0.32401,0.912564,1.652053,-0.372003
82,0.82,-0.505284,-0.363707,0.712376,-0.323923,0.912554,1.652071,-0.371962
83,0.83,-0.504919,-0.364017,0.712475,-0.323925,0.912566,1.652083,-0.371949
84,0.84,-0.504641,-0.364128,0.712602,-0.323953,0.912575,1.652091,-0.371942
85,0.85,-0.505061,-0.363799,0.712544,-0.323798,0.91256,1.652117,-0.371933
86,0.86,-0.505297,-0.363786,0.712459,-0.323632,0.912526,1.652097,-0.37192
87,0.87,-0.505457,-0.363684,0.712445,-0.323528,0.912526,1.652108,-0.371909
88,0.88,-0.505026,-0.36399,0.712552,-0.323619,0.912547,1.65211,-0.3719
89,0.89,-0.504738,-0.364077,0.712661,-0.323731,0.912556,1.652114,-0.371911
90,0.9,-0.505037,-0.363908,0.712582,-0.323629,0.912544,1.652116,-0.371894
91,0.91,-0.504768,-0.364113,0.712605,-0.323767,0.912556,1.652113,-0.371906
92,0.92,-0.505146,-0.363877,0.712536,-0.323595,0.912537,1.652127,-0.371888
93,0.93,-0.504824,-0.364066,0.712604,-0.323734,0.912549,1.652132,-0.37189
94,0.94,-0.505174,-0.363886,0.712504,-0.32361,0.912538,1.65213,-0.371881
95,0.95,-0.504865,-0.36408,0.712568,-0.323735,0.912555,1.652134,-0.371889
96,0.96,-0.505152,-0.363992,0.712438,-0.323672,0.912535,1.652122,-0.371862
97,0.97,-0.504812,-0.364078,0.712602,-0.323745,0.912557,1.652134,-0.371886
98,0.98,-0.505125,-0.363991,0.712482,-0.323619,0.91255,1.652112,-0.371871
99,0.99,-0.513574,-0.36214,0.722215,-0.288967,0.912014,1.65934,-0.362363
100,1,-0.53621,-0.372101,0.714258,-0.252695,0.909399,1.664275,-0.351768
101,1.01,-0.524701,-0.369567,0.714093,-0.27961,0.910587,1.659704,-0.359299
102,1.02,-0.516861,-0.367688,0.713628,-0.297313,0.911366,1.656702,-0.364299
103,1.03,-0.511669,-0.366306,0.713235,-0.308724,0.911877,1.654738,-0.367557
104,1.04,-0.508304,-0.365397,0.712939,-0.315959,0.912205,1.653475,-0.369637
105,1.05,-0.506163,-0.364815,0.712754,-0.320454,0.912402,1.652671,-0.370929
106,1.06,-0.50481,-0.364625,0.712597,-0.323142,0.912522,1.652209,-0.371689
107,1.07,-0.503988,-0.364457,0.712578,-0.324654,0.912578,1.651921,-0.372137
108,1.08,-0.503642,-0.364306,0.712549,-0.325423,0.912617,1.651804,-0.37236
109,1.09,-0.503939,-0.363952,0.712455,-0.325565,0.912607,1.651745,-0.37244
110,1.1,-0.503742,-0.364087,0.71247,-0.325686,0.912621,1.651753,-0.372434
111,1.11,-0.504215,-0.363789,0.71241,-0.32542,0.912604,1.651766,-0.372408
112,1.12,-0.504602,-0.363615,0.712347,-0.32515,0.912592,1.651822,-0.372344
113,1.13,-0.50491,-0.363427,0.712338,-0.324902,0.912579,1.651869,-0.372287
114,1.14,-0.504532,-0.36383,0.712424,-0.32485,0.912578,1.651896,-0.372246
115,1.15,-0.504355,-0.364075,0.712458,-0.324774,0.912587,1.651935,-0.372182
116,1.16,-0.504207,-0.364177,0.712573,-0.324638,0.912583,1.651955,-0.372145
117,1.17,-0.504645,-0.363954,0.712537,-0.324288,0.912545,1.651973,-0.372098
118,1.18,-0.504476,-0.364057,0.712612,-0.324269,0.912558,1.652023,-0.372064
119,1.19,-0.5049,-0.363845,0.712555,-0.323971,0.912534,1.652037,-0.372022
120,1.2,-0.505235,-0.363682,0.712456,-0.323851,0.912537,1.652068,-0.371983
121,1.21,-0.50541,-0.363584,0.712441,-0.323721,0.912529,1.652082,-0.371958
122,1.22,-0.505538,-0.363543,0.7124,-0.323656,0.912527,1.652092,-0.371933
123,1.23,-0.505103,-0.363824,0.712502,-0.323797,0.912559,1.652122,-0.371928
124,1.24,-0.505333,-0.363722,0.712444,-0.323679,0.91254,1.652128,-0.371911
125,1.25,-0.504897,-0.364062,0.712542,-0.323763,0.912544,1.6521,-0.371909
126,1.26,-0.504654,-0.364213,0.712613,-0.323816,0.912556,1.652111,-0.371908
127,1.27,-0.50502,-0.364066,0.712493,-0.323674,0.912543,1.65212,-0.371875
128,1.28,-0.505236,-0.363856,0.712478,-0.323607,0.912518,1.652115,-0.371883
129,1.29,-0.504872,-0.364066,0.712555,-0.323768,0.912539,1.652119,-0.37189
130,1.3,-0.505175,-0.363932,0.71247,-0.323633,0.912539,1.652124,-0.371875
131,1.31,-0.504818,-0.364223,0.712499,-0.323799,0.912561,1.652113,-0.37187
132,1.32,-0.504582,-0.364357,0.712565,-0.32387,0.912559,1.652106,-0.37188
133,1.33,-0.504476,-0.364397,0.712599,-0.323916,0.912572,1.652116,-0.371891
134,1.34,-0.504926,-0.364113,0.71255,-0.323642,0.912535,1.652102,-0.371887
135,1.35,-0.504698,-0.364294,0.712568,-0.323753,0.912559,1.652106,-0.371881
136,1.36,-0.504545,-0.364382,0.71261,-0.323802,0.912565,1.652118,-0.371877
137,1.37,-0.504454,-0.364424,0.712622,-0.32387,0.912568,1.652126,-0.371887
138,1.38,-0.505007,-0.364,0.712526,-0.323695,0.912551,1.652142,-0.371875
139,1.39,-0.50484,-0.364029,0.712599,-0.323764,0.912567,1.652134,-0.371885
140,1.4,-0.505191,-0.363818,0.712533,-0.323596,0.912545,1.652146,-0.371863
141,1.41,-0.505416,-0.363718,0.712465,-0.323508,0.912528,1.652151,-0.37185
142,1.42,-0.505008,-0.364122,0.712489,-0.323637,0.912547,1.652133,-0.371844
143,1.43,-0.50475,-0.364203,0.712582,-0.323743,0.912554,1.65214,-0.371862
144,1.44,-0.504612,-0.364269,0.712642,-0.323753,0.912552,1.652112,-0.371887
145,1.45,-0.504506,-0.364486,0.712573,-0.323826,0.912563,1.652112,-0.371873
146,1.46,-0.504425,-0.364502,0.712606,-0.323863,0.912542,1.652096,-0.371901
147,1.47,-0.504357,-0.364522,0.712642,-0.323867,0.912548,1.652102,-0.371906
148,1.48,-0.504323,-0.364465,0.712712,-0.323828,0.912552,1.652094,-0.371906
149,1.49,-0.504897,-0.364144,0.712544,-0.323665,0.91254,1.652119,-0.371886
150,1.5,-0.505177,-0.364091,0.7124,-0.323605,0.912531,1.65212,-0.37186
151,1.51,-0.504846,-0.364301,0.712485,-0.323699,0.912547,1.652112,-0.371868
152,1.52,-0.504621,-0.364403,0.712544,-0.323804,0.912554,1.65212,-0.371871
153,1.53,-0.505092,-0.364106,0.712435,-0.323644,0.912542,1.652119,-0.371864
154,1.54,-0.504829,-0.364143,0.712571,-0.323714,0.912548,1.652104,-0.371896
155,1.55,-0.504622,-0.364236,0.712665,-0.323725,0.912539,1.652102,-0.371901
156,1.56,-0.504468,-0.364271,0.712748,-0.323741,0.912535,1.652104,-0.371902
157,1.57,-0.504425,-0.364378,0.712692,-0.323812,0.912548,1.652123,-0.371899
158,1.58,-0.50434,-0.364364,0.712735,-0.323865,0.912551,1.652105,-0.371913
159,1.59,-0.504331,-0.364317,0.712776,-0.323841,0.912555,1.652096,-0.371926
160,1.6,-0.504904,-0.364088,0.712574,-0.323651,0.912538,1.652115,-0.371885
161,1.61,-0.522732,-0.359189,0.732751,-0.246598,0.911348,1.668113,-0.350793
162,1.62,-0.51488,-0.361872,0.724283,-0.28171,0.911892,1.660909,-0.360302
163,1.63,-0.510129,-0.362952,0.718303,-0.303439,0.912222,1.656363,-0.366282
164,1.64,-0.507118,-0.363407,0.714495,-0.316645,0.912434,1.653589,-0.369956
165,1.65,-0.504766,-0.364065,0.712328,-0.324434,0.912564,1.651958,-0.372111
166,1.66,-0.503443,-0.364421,0.711138,-0.328673,0.912644,1.651088,-0.373268
167,1.67,-0.50276,-0.364646,0.710556,-0.330721,0.912676,1.650677,-0.373809
168,1.68,-0.502489,-0.364656,0.71047,-0.331304,0.912678,1.650514,-0.373991
169,1.69,-0.50251,-0.364635,0.710531,-0.331166,0.912682,1.650561,-0.373954
170,1.7,-0.503121,-0.364506,0.71051,-0.330424,0.912642,1.650696,-0.373749
171,1.71,-0.503645,-0.364364,0.71062,-0.329544,0.912606,1.650865,-0.373518
