Frame,Time (Seconds),Rotation X,Rotation Y,Rotation Z,Rotation W,Position X,Position Y,Position Z,Error Per Marker
0,0,0.708305,0.280167,-0.575357,-0.297951,0.921725,1.712022,-0.378666,0.032035
1,0.01,0.649235,0.166014,-0.616799,-0.412906,0.911333,1.719669,-0.376053,0.024484
2,0.02,0.707399,0.278253,-0.576568,-0.299551,0.921857,1.71205,-0.378515,0.032045
3,0.03,0.649357,0.165939,-0.616854,-0.412663,0.911493,1.719591,-0.375983,0.024528
4,0.04,0.707939,0.279082,-0.576092,-0.298419,0.922027,1.711914,-0.37847,0.032058
5,0.05,0.650384,0.167565,-0.61631,-0.4112,0.91164,1.719441,-0.375989,0.024547
6,0.06,0.708852,0.281036,-0.575051,-0.296417,0.922156,1.711767,-0.37853,0.03202
7,0.07,0.651682,0.169398,-0.615543,-0.409539,0.911769,1.719301,-0.376036,0.024483
8,0.08,0.709647,0.282339,-0.574215,-0.294896,0.92226,1.711629,-0.378571,0.032056
9,0.09,0.652544,0.170731,-0.615014,-0.408406,0.911857,1.719179,-0.376089,0.02451
10,0.1,0.710275,0.283503,-0.573459,-0.293735,0.922342,1.711552,-0.378619,0.032055
11,0.11,0.653474,0.171779,-0.614437,-0.407347,0.911922,1.719069,-0.376091,0.024512
12,0.12,0.710791,0.284351,-0.57276,-0.293029,0.922407,1.711446,-0.378616,0.032034
13,0.13,0.653892,0.172553,-0.614088,-0.406875,0.911965,1.71902,-0.376115,0.024542
14,0.14,0.711037,0.285113,-0.572463,-0.292272,0.92243,1.711422,-0.37861,0.031984
15,0.15,0.654137,0.173163,-0.614073,-0.406244,0.911971,1.719014,-0.376135,0.024473
16,0.16,0.711126,0.2855,-0.572384,-0.291832,0.922427,1.711399,-0.37863,0.032007
17,0.17,0.654293,0.173527,-0.614031,-0.4059,0.911966,1.719,-0.376152,0.024453
18,0.18,0.711284,0.285776,-0.572224,-0.291492,0.922418,1.711396,-0.37869,0.032011
19,0.19,0.735839,0.351485,-0.537159,-0.215543,0.929108,1.706513,-0.380265,0.032065
